shi_cd,shi_nm,season,time_step,time_step_col,upper_raw,lower_raw,upper_tol,lower_tol,POD_upper_raw,FAR_upper_raw,PPV_upper_raw,POD_lower_raw,FAR_lower_raw,PPV_lower_raw,POD_upper_tol,FAR_upper_tol,PPV_upper_tol,POD_lower_tol,FAR_lower_tol,PPV_lower_tol,best_antecedent_days,a,b,c,POD_api,FAR_api,PPV_api,n_ea,n_esa
7,Micro bacia do Saco do Valente,Inverno,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
7,Micro bacia do Saco do Valente,Inverno,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
7,Micro bacia do Saco do Valente,Inverno,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
7,Micro bacia do Saco do Valente,Inverno,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
7,Micro bacia do Saco do Valente,Inverno,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
7,Micro bacia do Saco do Valente,Primavera,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,0,67
7,Micro bacia do Saco do Valente,Primavera,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,0,67
7,Micro bacia do Saco do Valente,Primavera,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
7,Micro bacia do Saco do Valente,Primavera,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
7,Micro bacia do Saco do Valente,Primavera,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
7,Micro bacia do Saco do Valente,Primavera,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
7,Micro bacia do Saco do Valente,Primavera,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
7,Micro bacia do Saco do Valente,Primavera,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
7,Micro bacia do Saco do Valente,Primavera,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
7,Micro bacia do Saco do Valente,Primavera,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,0,61
8,Micro bacia do Canal dos Bancários,Verao,1/6,I_15min,144.800000,15.200000,85.048000,17.200000,0.000000,0.010204,0.000000,1.000000,0.765306,0.127907,0.000000,0.010204,0.000000,0.909091,0.683673,0.129870,3,98.723265,-0.166316,4.163265,0.818182,0.265306,0.257143,11,98
8,Micro bacia do Canal dos Bancários,Verao,1/2,I_30min,132.000000,13.200000,69.920000,14.400000,0.000000,0.010204,0.000000,1.000000,0.724490,0.134146,0.000000,0.010204,0.000000,0.909091,0.693878,0.128205,3,66.166531,-0.374737,19.234286,0.636364,0.173469,0.291667,11,98
8,Micro bacia do Canal dos Bancários,Verao,1,I_1h,109.600000,9.600000,51.400000,9.800000,0.000000,0.010204,0.000000,1.000000,0.673469,0.142857,0.000000,0.010204,0.000000,0.909091,0.663265,0.133333,3,62.273469,-0.218421,2.782857,0.727273,0.275510,0.228571,11,98
8,Micro bacia do Canal dos Bancários,Verao,2,I_2h,60.500000,4.900000,28.490000,5.400000,0.000000,0.010204,0.000000,1.000000,0.785714,0.125000,0.000000,0.010204,0.000000,0.909091,0.724490,0.123457,8,12.787551,-0.062105,12.288571,0.454545,0.104167,0.333333,11,98
8,Micro bacia do Canal dos Bancários,Verao,3,I_3h,40.400000,3.333333,20.612000,3.933333,0.000000,0.010204,0.000000,1.000000,0.887755,0.112245,0.000000,0.010204,0.000000,0.909091,0.744898,0.120482,7,16.516735,-0.166316,9.893878,0.454545,0.114583,0.312500,11,98
8,Micro bacia do Canal dos Bancários,Verao,6,I_6h,20.200000,1.700000,10.661667,1.983333,0.000000,0.010204,0.000000,1.000000,0.908163,0.110000,0.181818,0.010204,0.666667,0.909091,0.816327,0.111111,1,13.193197,-0.374737,4.232143,0.545455,0.112245,0.352941,11,98
8,Micro bacia do Canal dos Bancários,Verao,8,I_8h,15.175000,1.275000,8.724500,1.487500,0.000000,0.010204,0.000000,1.000000,0.908163,0.110000,0.090909,0.010204,0.500000,0.909091,0.826531,0.109890,3,5.171020,-0.270526,2.612245,0.727273,0.234694,0.258065,11,98
