time_step,time_step_col,antecedent_days,a,b,c,POD,FAR,PPV,score,full_POD,full_FAR,full_PPV,shi_cd,shi_nm,season
1/6,I_15min,8,17.038367,-0.010000,31.167347,0.500000,0.204545,0.100000,0.039773,0.333333,0.121622,0.100000,8,Micro bacia do Canal dos Bancários,Outono
1/6,I_15min,9,17.038367,-0.010000,31.167347,0.500000,0.204545,0.100000,0.039773,0.333333,0.121622,0.100000,8,Micro bacia do Canal dos Bancários,Outono
1/6,I_15min,10,17.038367,-0.010000,31.167347,0.500000,0.204545,0.100000,0.039773,0.333333,0.121622,0.100000,8,Micro bacia do Canal dos Bancários,Outono
1/2,I_30min,1,11.204082,-0.010000,27.000000,0.500000,0.075472,0.200000,0.092453,0.333333,0.064103,0.166667,8,Micro bacia do Canal dos Bancários,Outono
1/2,I_30min,2,11.204082,-0.010000,27.000000,0.500000,0.076923,0.200000,0.092308,0.333333,0.052632,0.200000,8,Micro bacia do Canal dos Bancários,Outono
1/2,I_30min,3,13.675102,-0.010000,25.897959,0.500000,0.076923,0.200000,0.092308,0.333333,0.053333,0.200000,8,Micro bacia do Canal dos Bancários,Outono
1/2,I_30min,4,13.675102,-0.010000,25.897959,0.500000,0.076923,0.200000,0.092308,0.333333,0.053333,0.200000,8,Micro bacia do Canal dos Bancários,Outono
1/2,I_30min,5,13.675102,-0.010000,25.897959,0.500000,0.076923,0.200000,0.092308,0.333333,0.053333,0.200000,8,Micro bacia do Canal dos Bancários,Outono
1/2,I_30min,6,13.675102,-0.010000,25.897959,0.500000,0.078431,0.200000,0.092157,0.333333,0.054054,0.200000,8,Micro bacia do Canal dos Bancários,Outono
1/2,I_30min,7,13.675102,-0.010000,25.897959,0.500000,0.078431,0.200000,0.092157,0.333333,0.054054,0.200000,8,Micro bacia do Canal dos Bancários,Outono
1/2,I_30min,8,13.675102,-0.010000,25.897959,0.500000,0.078431,0.200000,0.092157,0.333333,0.054054,0.200000,8,Micro bacia do Canal dos Bancários,Outono
1/2,I_30min,9,13.675102,-0.010000,25.897959,0.500000,0.078431,0.200000,0.092157,0.333333,0.054054,0.200000,8,Micro bacia do Canal dos Bancários,Outono
1/2,I_30min,10,13.675102,-0.010000,25.897959,0.500000,0.078431,0.200000,0.092157,0.333333,0.054054,0.200000,8,Micro bacia do Canal dos Bancários,Outono
1,I_1h,1,6.783673,-0.010000,21.400000,0.500000,0.069767,0.250000,0.116279,0.333333,0.051282,0.200000,8,Micro bacia do Canal dos Bancários,Outono
1,I_1h,2,6.783673,-0.010000,21.400000,0.500000,0.071429,0.250000,0.116071,0.333333,0.039474,0.250000,8,Micro bacia do Canal dos Bancários,Outono
1,I_1h,3,6.783673,-0.010000,21.400000,0.500000,0.071429,0.250000,0.116071,0.333333,0.040000,0.250000,8,Micro bacia do Canal dos Bancários,Outono
1,I_1h,4,6.783673,-0.010000,21.400000,0.500000,0.071429,0.250000,0.116071,0.333333,0.040000,0.250000,8,Micro bacia do Canal dos Bancários,Outono
1,I_1h,5,6.783673,-0.010000,21.400000,0.500000,0.071429,0.250000,0.116071,0.333333,0.040000,0.250000,8,Micro bacia do Canal dos Bancários,Outono
1,I_1h,6,6.783673,-0.010000,21.400000,0.500000,0.073171,0.250000,0.115854,0.333333,0.040541,0.250000,8,Micro bacia do Canal dos Bancários,Outono
1,I_1h,7,6.783673,-0.010000,21.400000,0.500000,0.073171,0.250000,0.115854,0.333333,0.040541,0.250000,8,Micro bacia do Canal dos Bancários,Outono
1,I_1h,8,6.783673,-0.010000,21.400000,0.500000,0.073171,0.250000,0.115854,0.333333,0.040541,0.250000,8,Micro bacia do Canal dos Bancários,Outono
1,I_1h,9,6.783673,-0.010000,21.400000,0.500000,0.073171,0.250000,0.115854,0.333333,0.040541,0.250000,8,Micro bacia do Canal dos Bancários,Outono
1,I_1h,10,6.783673,-0.010000,21.400000,0.500000,0.073171,0.250000,0.115854,0.333333,0.040541,0.250000,8,Micro bacia do Canal dos Bancários,Outono
2,I_2h,1,3.139388,-0.947895,13.714286,0.500000,0.108696,0.166667,0.074275,0.333333,0.076923,0.142857,8,Micro bacia do Canal dos Bancários,Outono
2,I_2h,2,3.139388,-0.947895,13.714286,0.500000,0.090909,0.200000,0.090909,0.333333,0.065789,0.166667,8,Micro bacia do Canal dos Bancários,Outono
2,I_2h,3,8.262857,-0.478947,10.571429,1.000000,0.090909,0.333333,0.303030,0.666667,0.066667,0.285714,8,Micro bacia do Canal dos Bancários,Outono
2,I_2h,4,14.411020,-0.791579,10.857143,1.000000,0.113636,0.285714,0.253247,0.666667,0.080000,0.250000,8,Micro bacia do Canal dos Bancários,Outono
2,I_2h,5,8.262857,-0.426842,10.571429,1.000000,0.159091,0.222222,0.186869,0.666667,0.106667,0.200000,8,Micro bacia do Canal dos Bancários,Outono
2,I_2h,6,8.262857,-0.426842,10.571429,1.000000,0.186047,0.200000,0.162791,0.666667,0.121622,0.181818,8,Micro bacia do Canal dos Bancários,Outono
2,I_2h,7,8.262857,-1.000000,10.857143,1.000000,0.209302,0.181818,0.143763,0.666667,0.135135,0.166667,8,Micro bacia do Canal dos Bancários,Outono
2,I_2h,8,8.262857,-1.000000,10.857143,1.000000,0.232558,0.166667,0.127907,0.666667,0.148649,0.153846,8,Micro bacia do Canal dos Bancários,Outono
2,I_2h,9,8.262857,-1.000000,10.857143,1.000000,0.232558,0.166667,0.127907,0.666667,0.148649,0.153846,8,Micro bacia do Canal dos Bancários,Outono
2,I_2h,10,8.262857,-1.000000,10.857143,1.000000,0.232558,0.166667,0.127907,0.666667,0.148649,0.153846,8,Micro bacia do Canal dos Bancários,Outono
3,I_3h,1,1.040000,-0.010000,9.254422,1.000000,0.212766,0.166667,0.131206,0.666667,0.141026,0.153846,8,Micro bacia do Canal dos Bancários,Outono
3,I_3h,2,1.040000,-0.010000,9.254422,1.000000,0.200000,0.181818,0.145455,0.666667,0.131579,0.166667,8,Micro bacia do Canal dos Bancários,Outono
3,I_3h,3,5.056327,-0.739474,10.228571,1.000000,0.068182,0.400000,0.372727,0.666667,0.053333,0.333333,8,Micro bacia do Canal dos Bancários,Outono
