shi_cd,date,shi_nm,I_15min,I_30min,I_1h,I_2h,I_3h,I_6h,I_8h,I_10h,I_12h,I_24h,daily_total_mm
47,2022-12-18,Sub bacia do Rio Sarapuí,18.87193413239216,17.651575241641766,10.16447510871461,5.695549646131711,3.921248009568484,2.39745090028533,2.04199555339014,1.7297371188313029,1.4414568476572105,0.7528415151942438,18.06819636466185
47,2022-12-20,Sub bacia do Rio Sarapuí,6.478518280498172,6.039227430656657,5.63919572106423,4.724497325665144,4.318880063696996,2.769249531978698,2.5293908452495915,2.2064460133610044,1.8903381661785137,0.95840122093911,23.001629302538632
47,2022-12-21,Sub bacia do Rio Sarapuí,8.878962214792166,7.698496656139426,7.0397823485241515,5.439790275922259,5.517625404874327,3.5958186620501085,3.2669704769531327,2.7526250271690857,2.3670653672487707,1.7344277186164758,41.62626524679543
47,2022-12-22,Sub bacia do Rio Sarapuí,7.2,6.800000000000001,4.0,3.5,3.066666666666667,2.1333333333333333,1.625,1.3,1.0833333333333333,0.5416666666666666,13.0
47,2022-12-30,Sub bacia do Rio Sarapuí,18.406472051860206,17.199352794813983,16.595469563697858,13.096278570180385,10.330313042465239,5.731769254133785,4.399312344489853,3.539449875591883,2.9662082296599026,1.4831445651540776,35.595469563697854
47,2023-01-05,Sub bacia do Rio Sarapuí,4.996232282060571,4.596232282060571,3.9668196364661856,3.803094880144385,3.538758025628894,2.0922748930276756,1.5978787867710011,1.3022178450843598,1.1985845366143164,0.616776833729014,14.802644009496339
47,2023-01-06,Sub bacia do Rio Sarapuí,3.317777420747257,3.2981478506227138,2.698068576641643,1.827441585245494,1.72744422771153,1.4761699710847456,1.3456267714732362,1.3204479424385758,1.2260355171062107,,23.105160300931306
47,2023-01-07,Sub bacia do Rio Sarapuí,3.2,2.780465558652742,2.590248634122585,2.0902565615206923,1.8000264246603568,1.6934911620169497,1.5689014326275625,1.360026953153564,1.186624746849358,,16.71785669472833
47,2023-01-09,Sub bacia do Rio Sarapuí,12.486497650671025,11.247397058384081,8.696375854918152,4.957939293336491,3.5654374785777656,1.8892407896021115,1.4267215950695338,1.1603973830290213,0.9669978191908511,0.8261576392939897,19.827783343055753
47,2023-01-29,Sub bacia do Rio Sarapuí,34.4,20.4,12.2,7.1,5.3999999999999995,2.733333333333333,2.05,1.64,1.3666666666666665,0.6833333333333332,16.400000000000002
47,2023-01-30,Sub bacia do Rio Sarapuí,52.0,30.8,16.2,8.4,5.666666666666667,2.8333333333333335,2.125,1.7,1.4166666666666667,0.7083333333333334,17.0
47,2023-02-07,Sub bacia do Rio Sarapuí,99.69784175640788,76.09248679946373,53.41714785006177,31.57249686630536,23.764262093736164,14.141734911610792,10.859993619203605,8.726036694789297,7.274958270814361,3.637887424168266,87.3092981800384
47,2023-02-08,Sub bacia do Rio Sarapuí,53.6,33.2,23.0,14.2,9.466666666666667,4.733333333333333,3.55,2.8400000000000003,2.3833333333333333,,28.6
47,2023-02-10,Sub bacia do Rio Sarapuí,45.84436217983711,42.420679505441285,25.092816008712813,13.736617001488456,10.414633543787865,5.4406474627612305,4.080485597070923,3.2643884776567385,2.7203237313806152,1.3601618656903076,32.64388477656738
47,2023-02-11,Sub bacia do Rio Sarapuí,78.54937780551438,68.76495427136764,50.70232955264702,27.09034464259152,19.247164521372937,10.08208579459746,7.561564345948093,6.049251476758474,5.04104289729873,2.5209297374104502,60.502313697850795
47,2023-02-13,Sub bacia do Rio Sarapuí,64.24639159375252,54.998043247595604,32.02064603646555,16.569029398449942,11.176086622211276,5.588043311105638,4.191032483329228,3.3528259866633827,2.794021655552819,1.3970515522647726,33.52825986663383
47,2023-02-28,Sub bacia do Rio Sarapuí,27.977016696020904,25.69444531125145,16.85705329548421,10.562830831071413,7.24515353080296,3.62257676540148,2.7169325740511105,2.173546059240888,1.81128838270074,0.6916936335494176,21.735460592408884
47,2023-03-05,Sub bacia do Rio Sarapuí,41.6,24.400000000000002,12.8,6.4,4.333333333333333,2.1666666666666665,1.625,1.3,1.0833333333333333,,13.0
47,2023-03-30,Sub bacia do Rio Sarapuí,127.44044515626167,102.3894072183079,60.194941431097156,30.71216118354956,21.26500161676067,10.794275937312081,8.095706952984061,6.476565562387249,5.397137968656041,2.766666666666667,64.76565562387249
47,2023-04-08,Sub bacia do Rio Sarapuí,62.98129176743918,52.173153849304185,41.67627064090719,22.567722368806333,15.558920713196606,11.002714365035246,8.33070839077668,6.668494212125873,5.557079831337913,3.8666666666666667,93.28853543643983
47,2023-04-09,Sub bacia do Rio Sarapuí,15.708719924431845,15.054264833438639,13.448709264998433,10.392084928703659,8.07910953219413,4.776840496761774,3.7765080230045704,3.447500599868147,2.9554352436009697,1.6711850016231131,40.10844003895471
47,2023-04-19,Sub bacia do Rio Sarapuí,6.360804278935771,5.6,4.839132301879372,3.8097751480717363,3.5300617383125763,1.9650308691562883,1.4737751337167428,1.1790201069733943,0.9825167558111619,0.49166597207389,11.790201069733943
47,2023-04-28,Sub bacia do Rio Sarapuí,54.56641467200265,46.17784290480734,28.38111736468083,15.280759752074358,10.383901573028814,5.295217096603094,3.97141282245232,3.196151950414871,2.6634599586790597,1.3317879910868826,31.961519504148715
47,2023-05-10,Sub bacia do Rio Sarapuí,16.7216719770564,10.497894173883287,6.478407296924673,4.1049073925311355,3.250361540883595,2.904662266768387,2.4272698519435063,2.0135587430778594,1.69544754218737,,20.345402215840867
47,2023-05-29,Sub bacia do Rio Sarapuí,19.514199960362397,17.43561826067937,11.674639578985241,6.835372511338051,4.900110690342948,2.5330456348834622,1.9284707161095287,1.8813961258727532,1.634503377725717,0.8745070399392281,20.99051640627492
47,2023-07-19,Sub bacia do Rio Sarapuí,12.805177641488164,11.203236025930101,8.603883231116123,5.604368635005638,4.736461491732432,3.069956626362271,2.8527506220405874,2.3823946591882756,2.0186622159902297,,24.22394659188276
47,2023-08-26,Sub bacia do Rio Sarapuí,8.430328482303386,4.791481566755867,3.7230317480593937,2.1300528941053485,1.9696525821250188,1.0834012672564157,0.9108095368775107,0.9511518740418906,0.9816746164570911,0.6751150668974962,16.20276160553991
47,2023-08-27,Sub bacia do Rio Sarapuí,9.0354280031248,7.796137153283286,6.927433657847387,6.07841522432278,5.805218579944777,4.06694614448788,3.1063279942336153,2.487019010480861,2.1274100222683416,1.233590350193243,29.60616840463783
47,2023-08-29,Sub bacia do Rio Sarapuí,6.148422998974925,4.889692836563437,4.4646662459608315,3.566597669319188,3.3777212096819826,1.8506330913067006,1.3879748184800256,1.1103814402636418,0.9253178668863682,,12.523412263168531
47,2023-09-05,Sub bacia do Rio Sarapuí,30.41164969334837,20.811002488162348,10.607119257046227,5.3035596285231135,3.5357064190154084,1.7678532095077042,1.3258899071307784,1.0607119257046225,0.8839266047538521,,10.607119257046227
47,2023-10-01,Sub bacia do Rio Sarapuí,12.79973327637375,7.999899978640156,6.19998332977336,5.200016670226641,4.266649996440027,3.266644439697813,2.5749833297733593,2.239976661682703,2.2999708271033787,,28.59964992524055
47,2023-10-02,Sub bacia do Rio Sarapuí,56.78317266516346,45.980583844419385,26.189644717023675,13.494498755918826,8.996332503945885,4.498166251972942,3.3736246889797066,2.718996831961668,2.3490291922209696,,28.188350306651632
47,2023-10-13,Sub bacia do Rio Sarapuí,12.783172665163468,9.98770310146561,8.589644717023672,6.393042544250279,5.926861281473129,4.395685298759863,3.945995417911498,3.3566345330326937,2.797222411076662,,33.566992535512945
47,2023-10-14,Sub bacia do Rio Sarapuí,7.193527948139796,6.393527948139795,4.596116768883877,3.697087576662908,3.464185713453588,2.7978426493799318,2.7977347818489284,2.7378318626268316,2.6145093160465986,,44.568286945885
47,2023-10-17,Sub bacia do Rio Sarapuí,9.425989991700249,8.312931576665267,6.956402369147778,5.568394326909725,4.365869595850477,2.2162654887925366,1.6621991165944028,1.329759293275522,1.1081327443962683,,13.29759293275522
47,2023-10-26,Sub bacia do Rio Sarapuí,74.72338781381413,42.80513298979715,22.58304790834753,11.291523954173766,7.5276879210479155,3.7638439605239578,2.822882970392968,2.2583063763143745,1.8843703915954753,,23.0907727220893
47,2023-10-29,Sub bacia do Rio Sarapuí,20.995471251842293,12.956275530778065,6.897735625921147,3.6929788539540453,3.0325891118378583,2.3699012671629243,2.049972254106625,1.6399778032853,1.3666481694044168,0.6833240847022084,16.399778032853
47,2023-11-03,Sub bacia do Rio Sarapuí,31.2,22.0,12.2,6.6,5.0,2.566666666666667,1.925,1.54,1.2833333333333334,0.6416666666666667,15.399999999999999
47,2023-11-14,Sub bacia do Rio Sarapuí,20.86110089890077,18.645809819379362,15.879418262410958,9.385822942140269,6.25721529476018,3.12860764738009,2.3464557355350673,1.877164588428054,1.564303823690045,0.7821519118450225,18.771645884280538
47,2023-11-15,Sub bacia do Rio Sarapuí,22.164318320135774,14.380053333951174,7.429254097632245,6.146137593129113,4.1006913721747615,2.0503456860873808,1.5377592645655356,1.2302074116524284,1.0251728430436904,,12.302074116524285
47,2023-11-19,Sub bacia do Rio Sarapuí,19.96086769812063,16.28247625599217,11.233465749865669,6.411833409799805,4.73469493795457,2.432380980599609,1.8242857354497068,1.5453000191212927,1.3560471951793847,0.6780242582062013,16.27258219694883
47,2023-11-20,Sub bacia do Rio Sarapuí,4.8,4.4,3.6,2.9,2.1333333333333333,1.3333333333333333,1.05,0.8400000000000001,0.7666666666666666,0.4666666666666666,11.2
47,2023-11-23,Sub bacia do Rio Sarapuí,18.4,15.2,8.799999999999999,4.9,3.4000000000000004,1.7333333333333334,1.3,1.04,0.8666666666666667,,10.4
47,2023-11-24,Sub bacia do Rio Sarapuí,10.397411179255919,8.397411179255919,5.800000000000001,4.899190993517474,3.9325782606163098,2.4333872670988352,2.125,2.039805838444194,1.8332524326850812,0.9416262163425405,22.59902919222097
47,2023-12-08,Sub bacia do Rio Sarapuí,50.45591549162822,45.25512275181751,22.827577230704968,11.413788615352484,7.672592766812969,3.8362963834064847,2.8772222875548636,2.301777830043891,1.9181481917032424,1.017006407205467,24.408153772931204
47,2023-12-09,Sub bacia do Rio Sarapuí,27.905522979156125,26.771693448669183,14.552222426506784,7.471354441286289,5.38759941392911,2.7444354407372913,2.06934641340323,1.6584168098024008,1.4016079050017283,0.717716634749069,17.225199233977655
47,2024-01-03,Sub bacia do Rio Sarapuí,7.082539675177026,6.702074116524284,5.91187304679034,5.411880974188448,4.398116434260837,2.1990582171304185,1.6492936628478139,1.319434930278251,1.0995291085652092,,14.384471098535382
47,2024-01-04,Sub bacia do Rio Sarapuí,10.439005463509659,7.297830754698432,4.488095243617231,3.373428557810573,2.5319453040517397,1.6944065202261744,1.6043769723029042,1.4054597784159133,1.1712164820132611,,14.054597784159135
47,2024-01-13,Sub bacia do Rio Sarapuí,30.361501889969194,20.49852836573185,13.990375472492298,9.587613543068409,7.484534224489689,6.029267933540993,5.6554085527003926,4.524326842160314,3.7702723684669284,1.9540744554908835,46.89778693178121
47,2024-01-14,Sub bacia do Rio Sarapuí,27.686497650671022,19.297799045106007,13.186132110666446,8.793058127935115,7.712389722976196,4.4228615281547645,3.389696413549559,3.172159270307533,2.6601314040232595,1.3300720496417773,31.92157684827911
47,2024-01-21,Sub bacia do Rio Sarapuí,53.35563782016289,44.279967679423734,32.80860806116669,22.650401986721924,16.887181611064918,8.767125208599737,6.599119040166545,5.279295232133236,4.399412693444363,2.8000041675566605,67.591418147571
47,2024-01-22,Sub bacia do Rio Sarapuí,20.79906646730812,15.9990998077614,7.999616584787264,5.299741611487068,4.399811070764739,2.799872194929088,2.099929151536777,1.6799483222974139,1.399956935247845,0.8583333333333334,20.59949989320078
47,2024-01-23,Sub bacia do Rio Sarapuí,16.35238097446892,13.13259285638224,8.079608519965527,6.80626716353413,6.181783050199167,3.515409990493012,3.43042919775442,2.8351221814961987,2.660160012745092,1.775046537716039,43.69676672396879
47,2024-01-25,Sub bacia do Rio Sarapuí,6.407766462232247,4.407766462232247,3.004206833709133,2.0032360259301027,1.5361378891394222,1.4345738099398726,1.1010112581031573,0.9806472051860206,0.8172060043216839,0.65,12.005824846674185
47,2024-01-26,Sub bacia do Rio Sarapuí,6.398705589627959,5.598058384441938,3.0012944103720414,2.7000000000000006,2.46677453419767,1.4337648034573471,1.2504045032412627,1.2403236025930102,1.1500809006482529,0.725,15.003883231116124
47,2024-01-28,Sub bacia do Rio Sarapuí,6.4782646037587455,5.678296313351173,5.439148156675586,4.824449761276501,4.469901267162923,2.5349453486493907,1.901209011487043,1.5209672091896345,1.2674726743246953,0.6416613817345954,15.399873161630286
47,2024-01-31,Sub bacia do Rio Sarapuí,56.13240435821098,47.37207572316163,32.59238704952338,17.291333696619194,11.734088417923502,5.900377542295084,4.425283156721314,3.540226525377051,2.950188771147542,1.4755020137183479,35.41204832924035
47,2024-02-04,Sub bacia do Rio Sarapuí,40.8,30.0,15.4,7.8,5.266666666666667,2.6333333333333333,1.9749999999999999,1.5799999999999998,1.3166666666666667,,15.799999999999999
47,2024-02-14,Sub bacia do Rio Sarapuí,16.298050962462124,16.2190253284851,14.032259025970092,9.314364564986937,9.392664730843817,4.737820904112814,3.55336567808461,2.851497310390547,2.3762477586587893,1.1881238793293947,28.514973103905472
47,2024-02-15,Sub bacia do Rio Sarapuí,20.48668790822559,19.890962979643874,17.159523781913848,11.18474855746913,8.074745864087774,4.730465412037467,4.060596432496475,4.205535881437741,4.085498156531288,3.2202497516109827,93.45108924381385
47,2024-02-21,Sub bacia do Rio Sarapuí,18.41621241708513,18.016212417085132,14.582762522015678,8.86686808054648,6.948531117695696,4.5749859981490015,5.320514713579964,4.6368250086892076,3.895721018863329,1.9490853757149218,47.34865222635996
47,2024-02-28,Sub bacia do Rio Sarapuí,12.0,12.0,9.2,4.8,3.1999999999999997,1.6666666666666667,1.2750000000000001,1.02,0.8500000000000001,0.42500000000000004,10.200000000000001
47,2024-03-01,Sub bacia do Rio Sarapuí,5.6,5.199999999999999,4.3999999999999995,3.0,2.933333333333333,1.7666666666666668,1.35,1.08,0.9,0.45,10.8
47,2024-03-02,Sub bacia do Rio Sarapuí,11.2,11.2,8.799999999999999,7.8,5.733333333333333,3.6999999999999997,2.85,2.2800000000000002,1.9000000000000001,0.9500000000000001,23.400000000000002
47,2024-03-05,Sub bacia do Rio Sarapuí,8.005734557964416,7.605701217511134,7.004600982552845,6.602542209562714,6.201572558046444,4.700689036034484,4.675477185237591,4.080440093983316,3.6004237015937854,1.8002215750957666,43.2053178022984
47,2024-03-06,Sub bacia do Rio Sarapuí,2.4000000000000004,2.4000000000000004,2.200016670226641,2.099991664886679,2.0666499964400264,1.6999944432577865,1.4249937486650097,1.2399916648866796,1.0499958324433398,0.5249979162216699,13.2
47,2024-03-09,Sub bacia do Rio Sarapuí,11.126223192480388,10.706657041540703,9.105455818499848,6.484095760396988,5.083571780391596,2.8636871382187308,2.1477653536640484,1.7280191405954028,1.4522765044259012,0.7261382522129506,17.42731805311082
47,2024-03-22,Sub bacia do Rio Sarapuí,14.344655281035497,13.905522979156123,12.65646490864098,11.312472778619114,10.09989342166692,8.825019617131089,7.556173905492556,6.6958210038620996,6.362057579567012,4.741068459978397,156.96942599201446
47,2024-03-23,Sub bacia do Rio Sarapuí,5.599866638186874,4.7998999786401555,4.199899978640156,3.2998749733001946,3.3331555175824987,1.9665666453068222,1.5499312353151071,1.2399583244333983,1.0333027712511589,0.641640966733929,19.799566574107338
47,2024-03-24,Sub bacia do Rio Sarapuí,7.474179789895034,6.78068752579974,6.141507659531724,4.670864813339362,3.5237193756897747,2.3026462844968885,2.078290835486521,1.7271030409007957,1.7034800380482915,1.0889893424732264,37.145971229121265
47,2024-03-26,Sub bacia do Rio Sarapuí,2.948296160605212,2.889597707786153,2.5917510982915073,1.8254229605079597,1.4804071311694058,0.9670174910708431,0.8953636531701037,0.7733512434562657,0.6444593695468882,0.322230345389953,12.97321550910574
47,2024-03-27,Sub bacia do Rio Sarapuí,14.4,12.8,10.8,6.8,4.8,2.566666666666667,1.925,1.54,1.3333333333333333,0.6666666666666666,16.0
48,2015-04-26,Sub bacia do Rio Ramos,16.8,15.600000000000001,9.4,5.0,3.6,1.8333333333333333,1.375,1.1,0.9500000000000001,0.48333333333333334,11.600000000000001
48,2015-04-30,Sub bacia do Rio Ramos,9.6,9.2,8.200000000000001,5.000000000000001,4.933333333333334,4.3,3.475,2.88,2.4,1.2,28.8
48,2015-05-05,Sub bacia do Rio Ramos,14.42849222685248,13.545283607704492,8.82436368314356,5.406606988749505,3.666001219332401,2.0532810356686104,1.563820851911968,1.274301776122799,1.061918146768999,0.5309590733844995,12.74301776122799
