duracao_h,intensidade_max_mm_h,id_estacao,id_evento_chuva,start_time,end_time,classificacao
0.5,4.0,22,22_1453993200,2016-01-28 15:00:00,2016-01-28 15:30:00,ESA
0.25,4.0,22,22_1455171300,2016-02-11 06:15:00,2016-02-11 06:30:00,ESA
0.25,11.2,22,22_1455223500,2016-02-11 20:45:00,2016-02-11 21:30:00,ESA
0.5,10.0,22,22_1455223500,2016-02-11 20:45:00,2016-02-11 21:30:00,ESA
0.25,4.0,22,22_1455557400,2016-02-15 17:30:00,2016-02-15 18:00:00,ESA
0.5,4.0,22,22_1455557400,2016-02-15 17:30:00,2016-02-15 18:00:00,ESA
0.25,9.6,22,22_1455658200,2016-02-16 21:30:00,2016-02-17 00:30:00,ESA
0.5,8.0,22,22_1455658200,2016-02-16 21:30:00,2016-02-17 00:30:00,ESA
1.0,5.8,22,22_1455658200,2016-02-16 21:30:00,2016-02-17 00:30:00,ESA
2.0,4.8,22,22_1455658200,2016-02-16 21:30:00,2016-02-17 00:30:00,ESA
3.0,4.533333333333333,22,22_1455658200,2016-02-16 21:30:00,2016-02-17 00:30:00,ESA
0.25,55.2,22,22_1455997500,2016-02-20 19:45:00,2016-02-20 20:45:00,ESA
0.5,44.400000000000006,22,22_1455997500,2016-02-20 19:45:00,2016-02-20 20:45:00,ESA
1.0,27.8,22,22_1455997500,2016-02-20 19:45:00,2016-02-20 20:45:00,ESA
0.25,21.6,22,22_1456079400,2016-02-21 18:30:00,2016-02-21 19:00:00,ESA
0.5,15.200000000000001,22,22_1456079400,2016-02-21 18:30:00,2016-02-21 19:00:00,ESA
0.25,5.6,22,22_1456168500,2016-02-22 19:15:00,2016-02-22 19:30:00,ESA
0.25,24.8,22,22_1456747200,2016-02-29 12:00:00,2016-02-29 16:30:00,ESA
0.5,20.800000000000004,22,22_1456747200,2016-02-29 12:00:00,2016-02-29 16:30:00,ESA
1.0,20.4,22,22_1456747200,2016-02-29 12:00:00,2016-02-29 16:30:00,ESA
2.0,15.6,22,22_1456747200,2016-02-29 12:00:00,2016-02-29 16:30:00,ESA
3.0,12.066666666666665,22,22_1456747200,2016-02-29 12:00:00,2016-02-29 16:30:00,ESA
0.25,9.6,22,22_1456843500,2016-03-01 14:45:00,2016-03-01 16:45:00,ESA
0.5,6.8,22,22_1456843500,2016-03-01 14:45:00,2016-03-01 16:45:00,ESA
1.0,6.0,22,22_1456843500,2016-03-01 14:45:00,2016-03-01 16:45:00,ESA
2.0,5.3,22,22_1456843500,2016-03-01 14:45:00,2016-03-01 16:45:00,ESA
