id_evento,data_inicio,id_estacao
51781,2020-03-01 04:31:12+00:00,1
52374,2020-03-17 20:33:44+00:00,12
51830,2020-03-01 08:44:29+00:00,12
51944,2020-03-02 14:52:09+00:00,12
51777,2020-03-01 03:48:42+00:00,12
51778,2020-03-01 03:57:04+00:00,12
52428,2020-03-20 20:40:53+00:00,15
51793,2020-03-01 06:25:22+00:00,23
51968,2020-03-03 07:50:31+00:00,15
52430,2020-03-20 21:29:22+00:00,15
52460,2020-03-21 08:03:35+00:00,11
52426,2020-03-20 19:26:35+00:00,3
51860,2020-03-01 11:06:59+00:00,3
51911,2020-03-01 19:01:51+00:00,31
51779,2020-03-01 03:59:52+00:00,16
51880,2020-03-01 12:33:41+00:00,15
51762,2020-03-01 00:44:43+00:00,7
51789,2020-03-01 05:45:46+00:00,24
51757,2020-03-01 00:07:25+00:00,22
52485,2020-03-21 15:52:39+00:00,12
51833,2020-03-01 09:03:54+00:00,19
51966,2020-03-03 07:02:35+00:00,6
52467,2020-03-21 10:03:02+00:00,18
51923,2020-03-02 06:22:24+00:00,13
52492,2020-03-21 22:05:52+00:00,13
51879,2020-03-01 12:28:57+00:00,11
52450,2020-03-21 06:57:34+00:00,11
51783,2020-03-01 04:38:43+00:00,11
52378,2020-03-17 21:38:43+00:00,11
52453,2020-03-21 07:10:06+00:00,11
51766,2020-03-01 01:54:26+00:00,11
52438,2020-03-20 22:46:08+00:00,11
51760,2020-03-01 00:22:52+00:00,11
52486,2020-03-21 15:58:55+00:00,16
52377,2020-03-17 21:26:53+00:00,16
51776,2020-03-01 03:17:31+00:00,16
51764,2020-03-01 00:55:59+00:00,29
52463,2020-03-21 08:33:33+00:00,18
51790,2020-03-01 05:49:04+00:00,24
52435,2020-03-20 22:20:00+00:00,18
51829,2020-03-01 08:41:31+00:00,17
51926,2020-03-02 08:50:47+00:00,8
52455,2020-03-21 07:37:43+00:00,10
52484,2020-03-21 15:50:18+00:00,18
51838,2020-03-01 09:50:49+00:00,16
51862,2020-03-01 12:13:18+00:00,7
51869,2020-03-01 12:19:07+00:00,7
51815,2020-03-01 07:54:04+00:00,7
51896,2020-03-01 13:41:10+00:00,4
51822,2020-03-01 08:15:49+00:00,16
51828,2020-03-01 08:40:52+00:00,16
51799,2020-03-01 07:30:16+00:00,16
51807,2020-03-01 07:45:17+00:00,16
51810,2020-03-01 07:48:41+00:00,16
51808,2020-03-01 07:46:45+00:00,16
51792,2020-03-01 06:01:59+00:00,16
51801,2020-03-01 07:38:31+00:00,16
51877,2020-03-01 12:25:37+00:00,13
51852,2020-03-01 10:58:33+00:00,9
51868,2020-03-01 12:18:11+00:00,9
51823,2020-03-01 08:16:41+00:00,9
51791,2020-03-01 05:52:50+00:00,9
51846,2020-03-01 09:54:41+00:00,19
51786,2020-03-01 05:02:14+00:00,13
51855,2020-03-01 11:02:58+00:00,13
51955,2020-03-02 18:27:01+00:00,13
51816,2020-03-01 07:55:32+00:00,13
51870,2020-03-01 12:19:52+00:00,13
51854,2020-03-01 11:02:10+00:00,13
51837,2020-03-01 09:46:17+00:00,13
51858,2020-03-01 11:05:46+00:00,15
51802,2020-03-01 07:39:24+00:00,18
51842,2020-03-01 09:52:44+00:00,7
51871,2020-03-01 12:20:33+00:00,7
51843,2020-03-01 09:53:00+00:00,23
51851,2020-03-01 10:58:13+00:00,7
51821,2020-03-01 08:14:48+00:00,7
51890,2020-03-01 13:30:16+00:00,7
51861,2020-03-01 12:12:29+00:00,7
51848,2020-03-01 09:57:17+00:00,7
51917,2020-03-01 21:46:59+00:00,2
51991,2020-03-03 17:58:12+00:00,4
51913,2020-03-01 19:39:42+00:00,1
51874,2020-03-01 12:22:36+00:00,4
51853,2020-03-01 10:59:17+00:00,4
51857,2020-03-01 11:04:55+00:00,4
51818,2020-03-01 07:58:52+00:00,2
51982,2020-03-03 16:15:45+00:00,1
51916,2020-03-01 21:44:36+00:00,4
51885,2020-03-01 13:25:22+00:00,4
51872,2020-03-01 12:21:07+00:00,11
51875,2020-03-01 12:23:14+00:00,3
51889,2020-03-01 13:29:44+00:00,1
51893,2020-03-01 13:36:34+00:00,3
51891,2020-03-01 13:31:13+00:00,3
51863,2020-03-01 12:14:19+00:00,3
51867,2020-03-01 12:17:15+00:00,3
51895,2020-03-01 13:40:36+00:00,1
51903,2020-03-01 16:18:25+00:00,2
51866,2020-03-01 12:16:43+00:00,3
51894,2020-03-01 13:40:03+00:00,3
51847,2020-03-01 09:55:54+00:00,3
51884,2020-03-01 13:22:44+00:00,5
51897,2020-03-01 13:42:02+00:00,4
51996,2020-03-03 20:25:01+00:00,5
51888,2020-03-01 13:28:08+00:00,5
51865,2020-03-01 12:15:53+00:00,4
