I_15min,I_30min,I_1h,I_2h,I_3h,I_6h,I_8h,I_10h,I_12h,I_24h,date,id_estacao,daily_total_mm,api_1d,api_2d,api_3d,api_4d,api_5d,api_6d,api_7d,api_8d,api_9d,api_10d,classificacao
14.4,13.600000000000001,13.0,11.3,9.933333333333334,6.8999999999999995,5.325,4.26,3.5666666666666664,1.8583333333333334,2017-11-22,28,44.6,0.51,25.2195,35.5368,43.053689999999996,43.053689999999996,43.053689999999996,43.053689999999996,43.053689999999996,43.053689999999996,43.09306488086814,ESA
4.0,4.0,3.4,2.7,2.1999999999999997,1.5333333333333334,1.5,1.5,1.25,0.625,2017-12-12,28,15.0,0.0,0.0,2.4564999999999997,4.544524999999999,4.544524999999999,4.544524999999999,5.057448341249999,5.057448341249999,5.196418509019921,7.007663028954569,ESA
28.0,20.0,11.6,8.0,5.6000000000000005,2.8666666666666667,2.15,1.72,1.4333333333333333,0.7166666666666667,2017-12-21,28,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.474254194248046,3.474254194248046,ESA
53.6,32.8,18.0,9.4,6.333333333333333,3.1666666666666665,2.375,1.9,1.5833333333333333,0.7916666666666666,2017-12-23,28,19.0,0.34,12.766999999999998,12.766999999999998,12.766999999999998,12.766999999999998,12.766999999999998,12.766999999999998,12.766999999999998,12.766999999999998,12.766999999999998,ESA
38.4,22.0,12.799999999999999,6.5,4.466666666666667,2.2666666666666666,1.7,1.3599999999999999,1.1333333333333333,0.5916666666666667,2017-12-24,28,14.2,16.15,16.439,27.00195,27.00195,27.00195,27.00195,27.00195,27.00195,27.00195,27.00195,ESA
15.2,13.6,11.2,8.700000000000001,6.666666666666667,3.6333333333333333,2.725,2.18,1.8166666666666667,0.9083333333333333,2018-01-03,28,21.8,0.0,0.0,0.12282499999999999,2.8372574999999998,6.386899999999999,8.725226996874998,8.725226996874998,10.632660672148436,11.281188121741405,14.076804663379665,ESA
20.0,17.6,14.4,10.600000000000001,8.666666666666666,5.766666666666667,4.625,3.7,3.0833333333333335,1.5750000000000002,2018-01-04,28,37.8,18.53,18.53,18.53,18.63440125,20.941668874999998,23.958864999999996,25.946442947343744,25.946442947343744,27.567761571326166,28.11900990348019,ESA
54.4,46.8,36.6,25.900000000000002,19.733333333333334,11.933333333333335,9.05,7.24,6.033333333333334,3.7416666666666667,2018-01-07,28,89.8,1.02,7.811499999999999,31.025425,42.40516125,42.40516125,42.40516125,42.469276667656246,43.88622739785937,45.739162968124994,46.95978427503747,ESA
24.0,20.0,16.0,10.200000000000001,7.333333333333333,4.5,3.375,2.7800000000000002,2.316666666666667,1.3,2018-01-08,28,31.200000000000003,76.33,77.197,82.969775,102.70161125,112.3743870625,112.3743870625,112.3743870625,112.42888516750781,113.63329328818047,115.20828852290624,ESA
19.2,15.600000000000001,12.799999999999999,7.499999999999999,4.999999999999999,2.6999999999999997,2.7,2.76,2.3666666666666667,1.2,2018-01-26,28,28.8,0.0,0.0,0.0,0.0,1.2423748749999999,1.6195243906249999,1.6195243906249999,1.6195243906249999,1.6195243906249999,1.6195243906249999,ESA
30.4,21.999999999999996,16.6,12.4,8.733333333333333,7.3999999999999995,6.2250000000000005,5.48,4.616666666666666,2.3833333333333333,2018-01-27,28,57.2,24.48,24.48,24.48,24.48,24.48,25.53601864375,25.856595732031252,25.856595732031252,25.856595732031252,25.856595732031252,ESA
12.8,9.599999999999998,8.0,7.299999999999999,6.8,5.066666666666667,4.075,3.8200000000000003,3.266666666666666,1.8166666666666667,2018-01-30,28,43.6,0.0,0.1445,35.27245,50.30623,50.30623,50.30623,50.30623,50.30623,50.95475744959297,51.151631853933694,ESA
4.0,4.0,3.2,2.1999999999999997,1.9333333333333336,1.3666666666666665,1.175,1.0000000000000002,0.8833333333333334,0.525,2018-02-05,28,12.6,0.0,0.0,0.0,0.0,0.0,16.443718881249996,16.443718881249996,16.49821698625781,29.746706313657025,35.41668915866984,ESA
126.4,124.4,91.4,48.400000000000006,32.26666666666667,16.2,12.15,9.72,8.1,4.05,2018-02-15,28,97.2,7.31,7.31,7.31,7.31,7.31,7.31,7.31,8.39996210015625,9.048489549749219,11.529107044442323,ESA
102.4,92.80000000000001,49.6,31.900000000000002,21.26666666666667,10.633333333333335,8.025,6.8,5.666666666666667,2.8333333333333335,2018-02-21,28,68.0,0.0,0.0,0.0,0.10440124999999999,0.9030708124999999,37.562003731249995,40.31896669046874,40.31896669046874,40.31896669046874,40.31896669046874,ESA
29.6,27.6,23.800000000000004,14.200000000000001,9.466666666666667,5.333333333333333,4.9750000000000005,4.12,3.4499999999999997,2.316666666666667,2018-02-23,28,55.6,8.16,57.28999999999999,57.28999999999999,57.28999999999999,57.28999999999999,57.36542990312499,57.94246866203124,84.42854769582812,86.42045343386366,86.42045343386366,ESA
16.0,11.6,9.0,6.6,5.000000000000001,4.033333333333334,3.475,3.12,3.1,2.058333333333333,2018-03-08,28,49.4,1.02,1.02,1.02,1.02,4.0371961249999995,4.0371961249999995,4.0371961249999995,4.0371961249999995,4.268813071283202,4.780686522569081,ESA
19.2,14.4,13.2,9.5,6.933333333333334,3.5,2.625,2.1,1.75,0.875,2018-03-15,28,21.0,0.0,1.7339999999999998,1.7339999999999998,2.0472037499999995,6.218033687499999,7.123192524999999,22.959700686093743,23.286689316140617,23.286689316140617,23.286689316140617,ESA
35.2,34.8,31.0,18.400000000000002,14.200000000000001,9.433333333333334,9.674999999999999,7.8,6.516666666666667,3.4583333333333335,2018-03-22,28,83.0,3.9099999999999997,3.9099999999999997,3.9099999999999997,3.9099999999999997,4.087482124999999,4.162912028125,10.895030882031248,10.895030882031248,11.450911553110936,11.450911553110936,ESA
54.4,34.8,22.6,14.0,10.066666666666666,5.633333333333333,4.225,3.38,2.8166666666666664,1.5250000000000001,2018-04-03,28,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESA
13.6,12.8,9.600000000000001,5.0,3.4,1.7,1.275,1.02,0.85,0.43333333333333335,2018-04-05,28,10.399999999999999,0.68,27.123499999999996,27.123499999999996,27.123499999999996,27.123499999999996,27.123499999999996,27.123499999999996,27.123499999999996,27.123499999999996,27.123499999999996,ESA
45.6,34.8,21.200000000000003,12.6,8.4,4.233333333333333,3.1750000000000003,2.54,2.1166666666666667,1.0833333333333333,2018-04-07,28,26.0,6.46,13.974,14.465300000000001,33.57072875,33.57072875,33.57072875,33.57072875,33.57072875,33.57072875,33.57072875,ESA
36.8,25.599999999999998,13.799999999999999,9.1,7.3999999999999995,4.866666666666666,3.7249999999999996,3.2199999999999998,2.766666666666666,1.5,2018-04-15,28,36.0,3.4,3.4,3.4,3.4,3.4,3.4,3.46411541765625,10.548869068671873,12.309157860424216,14.356651665567732,ESA
19.2,11.2,6.3999999999999995,4.7,3.466666666666667,2.3000000000000003,1.725,1.3800000000000001,1.1500000000000001,0.7333333333333334,2018-04-16,28,17.6,30.599999999999998,33.489999999999995,33.489999999999995,33.489999999999995,33.489999999999995,33.489999999999995,33.489999999999995,33.544498105007804,39.566538708371084,41.06278418136058,ESA
