id_estacao,time_step,time_step_col,upper_raw,lower_raw,upper_tol,lower_tol,POD_upper_raw,FAR_upper_raw,PPV_upper_raw,POD_lower_raw,FAR_lower_raw,PPV_lower_raw,POD_upper_tol,FAR_upper_tol,PPV_upper_tol,POD_lower_tol,FAR_lower_tol,PPV_lower_tol,best_antecedent_days,a,b,c,POD_api,FAR_api,PPV_api
16,10,I_10h,21.980000,1.460000,11.686000,1.607000,0.000000,0.002667,0.000000,1.000000,0.701333,0.014981,0.000000,0.010667,0.000000,0.750000,0.653333,0.012097,1,11.635265,-0.062105,3.013333,0.250000,0.037433,0.066667
16,12,I_12h,18.316667,1.216667,9.789000,1.339167,0.000000,0.002667,0.000000,1.000000,0.717333,0.014652,0.000000,0.010667,0.000000,0.750000,0.669333,0.011811,1,10.750000,-0.062105,2.583333,0.250000,0.037433,0.066667
16,24,I_24h,9.158333,0.700000,5.603750,0.747500,0.000000,0.002809,0.000000,1.000000,0.691011,0.016000,0.000000,0.011236,0.000000,0.750000,0.648876,0.012821,1,5.892041,-0.062105,0.464286,0.500000,0.095506,0.055556
17,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,
17,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,
17,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,
17,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,
17,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,
17,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,
17,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,
17,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,
17,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,
17,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,
18,1/6,I_15min,144.800000,7.200000,80.640000,7.720000,0.000000,0.003559,0.000000,1.000000,0.850534,0.055336,0.000000,0.010676,0.000000,0.928571,0.804270,0.054393,3,166.775510,-0.374737,16.954474,0.642857,0.176259,0.155172
18,1/2,I_30min,132.000000,6.000000,65.760000,6.780000,0.000000,0.003559,0.000000,1.000000,0.829181,0.056680,0.000000,0.010676,0.000000,0.928571,0.772242,0.056522,3,122.243265,-0.374737,16.517425,0.571429,0.140288,0.170213
18,1,I_1h,109.600000,3.400000,49.440000,4.960000,0.000000,0.003559,0.000000,1.000000,0.935943,0.050542,0.000000,0.010676,0.000000,0.928571,0.754448,0.057778,9,37.027347,-0.062105,13.518367,0.428571,0.062500,0.260870
18,2,I_2h,60.500000,2.000000,29.980000,3.820000,0.000000,0.003559,0.000000,1.000000,0.975089,0.048611,0.000000,0.010676,0.000000,0.928571,0.743772,0.058559,8,12.695510,-0.062105,12.282575,0.428571,0.051471,0.300000
18,3,I_3h,40.400000,2.066667,22.853333,2.890000,0.000000,0.003559,0.000000,1.000000,0.893238,0.052830,0.000000,0.010676,0.000000,0.928571,0.772242,0.056522,8,15.190476,-0.114211,9.825641,0.428571,0.055147,0.285714
18,6,I_6h,26.066667,1.233333,14.800000,1.536667,0.000000,0.003559,0.000000,1.000000,0.946619,0.050000,0.000000,0.010676,0.000000,0.928571,0.843416,0.052000,3,3.568367,-0.062105,6.133752,0.428571,0.043165,0.333333
18,8,I_8h,19.725000,1.075000,12.555000,1.205000,0.000000,0.003559,0.000000,1.000000,0.928826,0.050909,0.000000,0.010676,0.000000,0.928571,0.868327,0.050584,1,2.719133,-0.114211,4.913462,0.428571,0.053381,0.285714
18,10,I_10h,15.780000,0.960000,11.788000,0.999000,0.000000,0.003559,0.000000,1.000000,0.903915,0.052239,0.000000,0.010676,0.000000,0.928571,0.882562,0.049808,1,2.693633,-0.322632,4.055385,0.428571,0.049822,0.300000
18,12,I_12h,13.150000,0.850000,9.956667,0.936667,0.000000,0.003559,0.000000,1.000000,0.903915,0.052239,0.000000,0.010676,0.000000,0.928571,0.807829,0.054167,1,2.258163,-0.426842,3.510256,0.428571,0.046263,0.315789
18,24,I_24h,6.575000,0.550000,5.213000,0.560833,0.000000,0.003717,0.000000,1.000000,0.762082,0.063927,0.000000,0.011152,0.000000,0.928571,0.743494,0.061033,5,1.222449,-0.166316,1.996154,0.428571,0.049057,0.315789
19,1/6,I_15min,193.600000,28.800000,122.960000,28.800000,0.000000,0.003086,0.000000,1.000000,0.283951,0.041667,0.000000,0.012346,0.000000,1.000000,0.283951,0.041667,1,109.851429,-0.062105,7.677551,0.500000,0.043210,0.125000
19,1/2,I_30min,162.800000,19.600000,99.388000,20.320000,0.000000,0.003086,0.000000,1.000000,0.308642,0.038462,0.000000,0.012346,0.000000,0.750000,0.287037,0.031250,1,76.994286,-0.114211,20.244898,0.500000,0.040123,0.133333
19,1,I_1h,123.200000,12.600000,64.420000,13.080000,0.000000,0.003086,0.000000,1.000000,0.330247,0.036036,0.000000,0.012346,0.000000,0.750000,0.305556,0.029412,1,102.311020,-0.114211,10.963265,0.500000,0.040123,0.133333
19,2,I_2h,69.400000,8.200000,35.441000,8.650000,0.000000,0.003086,0.000000,1.000000,0.308642,0.038462,0.250000,0.012346,0.200000,0.750000,0.290123,0.030928,8,21.060408,-0.218421,10.820408,0.750000,0.124204,0.071429
19,3,I_3h,53.133333,5.533333,24.554000,5.863333,0.000000,0.003086,0.000000,1.000000,0.370370,0.032258,0.250000,0.012346,0.200000,0.750000,0.342593,0.026316,8,23.757007,-0.270526,7.500000,0.750000,0.136943,0.065217
19,6,I_6h,30.400000,3.533333,15.807667,3.588333,0.000000,0.003086,0.000000,1.000000,0.348765,0.034188,0.000000,0.012346,0.000000,0.750000,0.342593,0.026316,1,5.186939,-0.010000,8.108844,0.250000,0.015432,0.166667
19,8,I_8h,23.075000,2.850000,12.362000,2.861250,0.000000,0.003086,0.000000,1.000000,0.333333,0.035714,0.000000,0.012346,0.000000,0.750000,0.327160,0.027523,1,5.329286,-0.010000,6.475000,0.250000,0.015432,0.166667
